"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2015) - Fabrication de glaces et sorbets (NAF rév. 2, niveau classe, poste 10.52)";"Codes"
"idBank";"010537266";""
"Dernière mise à jour";"03/03/2023 08:45";""
"Période";"";""
"2005-01";"100.32";"A"
"2005-02";"100.55";"A"
"2005-03";"100.07";"A"
"2005-04";"99.87";"A"
"2005-05";"98.99";"A"
"2005-06";"99.91";"A"
"2005-07";"99.28";"A"
"2005-08";"100.42";"A"
"2005-09";"99.8";"A"
"2005-10";"100.45";"A"
"2005-11";"101.14";"A"
"2005-12";"99.87";"A"
"2006-01";"98.98";"A"
"2006-02";"99.94";"A"
"2006-03";"99.79";"A"
"2006-04";"98.77";"A"
"2006-05";"100.01";"A"
"2006-06";"100.22";"A"
"2006-07";"100.15";"A"
"2006-08";"100.6";"A"
"2006-09";"100.49";"A"
"2006-10";"100.75";"A"
"2006-11";"99.98";"A"
"2006-12";"101.45";"A"
"2007-01";"101.41";"A"
"2007-02";"100.52";"A"
"2007-03";"99.6";"A"
"2007-04";"101.98";"A"
"2007-05";"101.39";"A"
"2007-06";"100.5";"A"
"2007-07";"102.24";"A"
"2007-08";"101.87";"A"
"2007-09";"101.58";"A"
"2007-10";"102.32";"A"
"2007-11";"101.68";"A"
"2007-12";"108.72";"A"
"2008-01";"107.07";"A"
"2008-02";"105.53";"A"
"2008-03";"105.66";"A"
"2008-04";"102.13";"A"
"2008-05";"102.06";"A"
"2008-06";"101.65";"A"
"2008-07";"101.22";"A"
"2008-08";"100.33";"A"
"2008-09";"101.63";"A"
"2008-10";"98.01";"A"
"2008-11";"100.16";"A"
"2008-12";"99.54";"A"
"2009-01";"66.21";"A"
"2009-02";"81.16";"A"
"2009-03";"73.12";"A"
"2009-04";"89.51";"A"
"2009-05";"91.0";"A"
"2009-06";"98.2";"A"
"2009-07";"95.57";"A"
"2009-08";"91.44";"A"
"2009-09";"99.38";"A"
"2009-10";"88.12";"A"
"2009-11";"96.35";"A"
"2009-12";"95.97";"A"
"2010-01";"97.22";"A"
"2010-02";"92.82";"A"
"2010-03";"107.89";"A"
"2010-04";"86.63";"A"
"2010-05";"100.64";"A"
"2010-06";"88.52";"A"
"2010-07";"100.71";"A"
"2010-08";"104.91";"A"
"2010-09";"94.9";"A"
"2010-10";"95.57";"A"
"2010-11";"88.24";"A"
"2010-12";"90.95";"A"
"2011-01";"89.04";"A"
"2011-02";"85.44";"A"
"2011-03";"100.74";"A"
"2011-04";"90.51";"A"
"2011-05";"125.13";"A"
"2011-06";"101.16";"A"
"2011-07";"94.58";"A"
"2011-08";"65.61";"A"
"2011-09";"88.43";"A"
"2011-10";"81.85";"A"
"2011-11";"94.37";"A"
"2011-12";"95.27";"A"
"2012-01";"99.41";"A"
"2012-02";"95.93";"A"
"2012-03";"95.32";"A"
"2012-04";"104.37";"A"
"2012-05";"90.99";"A"
"2012-06";"89.81";"A"
"2012-07";"77.76";"A"
"2012-08";"83.07";"A"
"2012-09";"101.72";"A"
"2012-10";"103.63";"A"
"2012-11";"104.27";"A"
"2012-12";"92.95";"A"
"2013-01";"96.76";"A"
"2013-02";"105.3";"A"
"2013-03";"89.93";"A"
"2013-04";"97.87";"A"
"2013-05";"86.31";"A"
"2013-06";"71.29";"A"
"2013-07";"76.84";"A"
"2013-08";"114.76";"A"
"2013-09";"110.11";"A"
